annotation	A_lyrata_NCBI
jg378	XP_002887880.1
jg379	XP_020889977.1
jg426	XP_020890603.1
jg427	XP_020865610.1
jg469	XP_002887931.1
jg470	XP_002886375.1
jg478	XP_020891384.1
jg479	XP_002887934.1
jg522	XP_002887953.1
jg523	XP_002886397.2, XP_020889829.1
jg524	XP_020889828.1
jg553	XP_020865901.1
jg554	XP_002887967.1
jg598	XP_002887985.1
jg670	XP_002886465.1
jg766	XP_020890209.1
jg805	XP_020890048.1
jg806	XP_020890057.1
jg806	XP_020890057.1
jg807	XP_020890048.1
jg808	XP_020890720.1
jg809	XP_020890076.1
jg819	XP_002888086.1
jg821	XP_020890044.1
jg821	XP_020890044.1
jg822	XP_020890124.1
jg855	XP_020890724.1
jg856	XP_020890116.1
jg884	XP_002886572.1
jg885	XP_002886573.1
jg886	XP_002888117.1
jg1124	XP_002888209.1
jg1278	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_020891241.1, XP_002886746.1, XP_002886744.1, XP_002886752.2, XP_002862361.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1
jg1279	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_020891241.1, XP_002886746.1, XP_002886744.1, XP_002886752.2, XP_002862361.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1
jg1280	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_020891241.1, XP_002886746.1, XP_002886744.1, XP_002886752.2, XP_002862361.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1
jg1281	XP_020868777.1
jg1395	XP_020890335.1
jg1436	XP_020868314.1
jg1437	XP_002894632.1
jg1448	XP_020868311.1
jg1476	XP_002891920.2
jg1504	XP_002894606.1
jg1715	XP_020890886.1
jg1716	XP_020870457.1
jg2007	XP_020891358.1
jg2064	XP_002887017.1
jg2065	XP_020871879.1
jg2204	XP_002887091.1
jg2205	XP_020865723.1, XP_020877183.1
jg2206	XP_020865725.1
jg2232	XP_020887147.1
jg2233	XP_002888578.2
jg2248	XP_020891116.1
jg2320	XP_002887144.1
jg2321	XP_020889989.1
jg2322	XP_020889985.1
jg2407	XP_002888663.1
jg2408	XP_002887182.2
jg2409	XP_002888664.1
jg2485	XP_002887219.1
jg2600	XP_002888749.1
jg2601	XP_020891771.1
jg2602	XP_020875021.1
jg2875	XP_020891738.1
jg2876	XP_002888873.2
jg3017	XP_020891779.1
jg3018	XP_020891780.1
jg3019	XP_020891785.1
jg3020	XP_002887507.1
jg3155	XP_002887571.1
jg3229	XP_020891392.1
jg3230	XP_020891402.1
jg3402	XP_020865759.1
jg3403	XP_002887678.1
jg3404	XP_002889139.1
jg3405	XP_002887679.1
jg3484	XP_020891408.1
jg3715	XP_002889288.1
jg3716	XP_020890985.1
jg3717	XP_020878073.1, XP_020890986.1
jg23957	XP_020886969.1
jg23958	XP_020886966.1
jg23959	XP_020886962.1
jg24248	XP_002882318.1
jg24249	XP_002884418.1
jg24250	XP_002884419.1
jg24251	XP_020887042.1
jg24261	XP_020887037.1
jg24262	XP_002882325.1
jg24263	XP_002884423.1
jg24264	XP_002882326.2
jg24375	XP_020886923.1
jg24376	XP_020886924.1
jg24377	XP_002882379.1
jg24378	XP_002884477.2
jg24504	XP_002882436.1
jg24505	XP_020887894.1
jg24506	XP_002884536.1
jg24510	XP_020887896.1
jg24511	XP_020889036.1
jg24818	XP_020888739.1
jg24819	XP_002882598.1
jg24875	XP_020887257.1
jg24876	XP_020887257.1
jg24877	XP_020887260.1
jg24903	XP_020888365.1
jg24904	XP_020888371.1
jg24905	XP_002884755.1
jg24910	XP_020888370.1
jg24911	XP_020888361.1
jg25144	XP_020888229.1
jg25145	XP_020888313.1
jg25146	XP_002884874.1
jg25145	XP_020888313.1
jg25146	XP_002884874.1
jg25147	XP_002884875.1
jg25553	XP_002885078.2
jg25555	XP_002882925.1
jg25556	XP_002882926.1
jg25599	XP_020889277.1
jg25600	XP_002882952.1
jg25761	XP_020889101.1
jg25762	XP_020889145.1
jg25773	XP_002883035.1
jg25774	XP_020889126.1
jg25775	XP_020889234.1
jg25776	XP_002883036.1
jg25845	XP_020889180.1
jg25846	XP_020889142.1
jg25919	XP_002862807.1, XP_002885236.1
jg25920	XP_002883101.1
jg25921	XP_020886476.1
jg25968	XP_002883128.1
jg26092	XP_020888181.1
jg26094	XP_020886010.1
jg26139	XP_020888116.1
jg26140	XP_020888115.1
jg26141	XP_002883211.1
jg26156	XP_020886278.1
jg26157	XP_002883226.2
jg26398	XP_020889498.1
jg26399	XP_002883330.1
jg26398	XP_020889498.1
jg26399	XP_002883330.1
jg26450	XP_002885493.1
jg26530	XP_002883385.1
jg26531	XP_002885800.1
jg26532	XP_002862508.1, XP_002885533.1
jg26615	XP_020886878.1
jg26618	XP_020886881.1
jg26618	XP_020886881.1
jg26654	XP_002862408.1, XP_002883466.1
jg26661	XP_002883469.1
jg26662	XP_002883470.1
jg26856	XP_002885686.1, XP_002883585.1
jg26857	XP_002885694.1
jg26909	XP_002885733.1
jg26944	XP_020887411.1
jg26945	XP_002885752.2
jg26946	XP_020888454.1
jg26947	XP_002885753.1
jg26959	XP_020874747.1
jg26960	XP_020888972.1
jg27039	XP_002883685.1
jg27071	XP_020888706.1
jg27072	XP_020888721.1
jg27071	XP_020888706.1
jg27072	XP_020888721.1
jg27090	XP_020889353.1
jg27172	XP_020886548.1
jg27398	XP_020886484.1, XP_002885879.1
jg27399	XP_002883801.1
jg27399	XP_002883801.1
jg27446	XP_002883829.2
jg27474	XP_020888996.1
jg27475	XP_020886281.1
jg27494	XP_002883848.1
jg27495	XP_002885933.1
jg27495	XP_002885933.1
jg27495	XP_002885933.1
jg27528	XP_002883865.1
jg27529	XP_020886829.1
jg27530	XP_002885945.1
jg27535	XP_002885948.1
jg27591	XP_020883925.1
jg27592	XP_020887801.1
jg27593	XP_020886047.1
jg27622	XP_020888416.1
jg27623	XP_020877127.1
jg27649	XP_020888841.1
jg27670	XP_020889524.1
jg27671	XP_002884160.1
jg27686	XP_020887679.1
jg27700	XP_020889070.1
jg27702	XP_002886229.1
jg27704	XP_020886274.1
jg27706	XP_002886234.1
jg27755	XP_002886064.1
jg27763	XP_002886069.1
jg27941	XP_002884096.1
jg28102	XP_002886236.1
jg28175	XP_002883969.1
jg28226	XP_002883942.1
jg28227	XP_020887561.1
jg16686	XP_020884897.1
jg16687	XP_020884236.1
jg16735	XP_002880471.2
jg16763	XP_002880485.1
jg16764	XP_020883080.1
jg16782	XP_002880491.1
jg16783	XP_002878673.1
jg16785	XP_020885431.1
jg16979	XP_020885717.1
jg16980	XP_020882835.1
jg17058	XP_002880657.1
jg17183	XP_020883579.1
jg17184	XP_002878887.1
jg17317	XP_020884444.1
jg17322	XP_020884444.1
jg17322	XP_020884444.1
jg17356	XP_002880798.1
jg17375	XP_020884808.1
jg17451	XP_002879001.1
jg17478	XP_020866785.1
jg17479	XP_020877271.1, XP_020882612.1, XP_020890904.1, XP_020875736.1, XP_020885842.1, XP_020890809.1
jg17510	XP_020880737.1
jg17511	XP_020884402.1
jg17577	XP_020883136.1
jg17578	XP_020883133.1
jg17645	XP_020885833.1
jg17646	XP_020885829.1
jg17766	XP_020883811.1
jg17791	XP_020885557.1
jg17792	XP_002862929.1, XP_002880935.1
jg17858	XP_020885214.1
jg17859	XP_002881010.1
jg17882	XP_020883008.1
jg17939	XP_020873020.1
jg17940	XP_020885353.1
jg17942	XP_002879211.1
jg17943	XP_002879212.1
jg17944	XP_002879213.1
jg18139	XP_002879284.1, XP_002862621.1
jg18140	XP_002862622.1
jg18141	XP_020871544.1, XP_020884622.1
jg18163	XP_020884372.1
jg18164	XP_002881157.1
jg18165	XP_020884628.1
jg18183	XP_020884017.1
jg18184	XP_002881167.2
jg18185	XP_020884051.1
jg18289	XP_020883690.1
jg18290	XP_002879373.1
jg18292	XP_002879375.1
jg18293	XP_002881217.1
jg18295	XP_020884465.1
jg18334	XP_020882862.1
jg18335	XP_020883684.1
jg18503	XP_002879476.1
jg18504	XP_002879477.1
jg18505	XP_020885665.1
jg18635	XP_002879534.1
jg18636	XP_020883100.1
jg18638	XP_020883102.1
jg18665	XP_020884541.1
jg18666	XP_002879550.2
jg18772	XP_020884563.1
jg18882	XP_002879662.1
jg18883	XP_020883378.1
jg18884	XP_020884903.1
jg19023	XP_020882845.1
jg19024	XP_002879744.2
jg19026	XP_020882844.1
jg19028	XP_002879746.1
jg19035	XP_002881602.1
jg19036	XP_002879750.1
jg19063	XP_020885330.1
jg19064	XP_020884201.1
jg19066	XP_020885465.1
jg19568	XP_020884457.1
jg19569	XP_020884460.1
jg19570	XP_002881859.1
jg19571	XP_002879993.1
jg19606	XP_002880006.2
jg19607	XP_002880007.1
jg19609	XP_020879653.1, XP_002881876.1
jg19611	XP_020884767.1
jg19611	XP_020884767.1
jg19612	XP_002881879.1
jg19835	XP_002881979.1
jg19836	XP_002881980.2
jg19876	XP_002880155.1
jg19908	XP_002882001.1
jg19909	XP_002880165.1
jg19910	XP_002882002.1
jg19920	XP_020885615.1
jg19921	XP_002880169.1
jg19923	XP_020882788.1
jg20195	XP_020882691.1
jg20196	XP_020882692.1
jg20198	XP_002882134.1
jg20199	XP_020882915.1
jg20200	XP_002880326.1
jg20221	XP_002880341.1
jg20222	XP_020885100.1
jg20223	XP_020885098.1
jg20224	XP_020884430.1
jg20225	XP_020883656.1
jg13215	XP_020879993.1
jg13216	XP_002875260.2
jg13217	XP_002875261.1
jg13240	XP_020880307.1
jg13241	XP_020881694.1
jg13296	XP_002875310.1
jg13297	XP_002875311.1
jg13298	XP_020881994.1
jg13542	XP_002875406.1
jg13543	XP_002875407.1
jg13544	XP_002871959.2
jg13545	XP_020880856.1
jg13546	XP_020882452.1
jg13571	XP_002875424.1
jg13573	XP_002875426.2
jg13609	XP_002877104.2
jg13609	XP_002877104.2
jg13623	XP_020882011.1
jg13635	XP_020882420.1
jg13643	XP_002875463.1
jg13644	XP_002877123.1
jg13645	XP_002877123.1
jg13646	XP_020881398.1, XP_020881413.1
jg13682	XP_020882237.1
jg13922	XP_002869685.1
jg14352	XP_002877436.1, XP_020882010.1
jg14455	XP_020881844.1
jg14455	XP_020881844.1
jg14856	XP_020879863.1
jg15095	XP_002876110.2
jg15096	XP_002877832.1
jg15097	XP_020882150.1
jg15170	XP_020881999.1
jg15171	XP_002876152.2
jg15245	XP_020881161.1
jg15246	XP_002877903.2
jg15247	XP_002877904.2
jg15274	XP_020880136.1
jg15275	XP_002877919.1
jg15276	XP_002876205.1
jg15657	XP_002876403.1
jg15658	XP_002878138.2
jg15659	XP_002876402.2
jg15742	XP_002878145.1
jg15743	XP_020881527.1
jg16123	XP_002876572.2
jg16124	XP_002876573.2
jg16125	XP_020881340.1
jg16255	XP_002878422.2
jg16256	XP_020880851.1
jg16257	XP_020880826.1
jg4018	XP_020879558.1
jg4019	XP_002870994.1
jg4020	XP_020879560.1
jg4044	XP_020878483.1
jg4246	XP_020875948.1
jg4249	XP_002873179.1
jg4399	XP_020876073.1
jg4400	XP_020885137.1, XP_020886953.1, XP_020885208.1
jg4484	XP_002871324.1
jg4680	XP_002871318.1
jg4681	XP_020877032.1
jg4682	XP_020877029.1
jg4713	XP_002871347.1
jg4714	XP_020877269.1
jg4715	XP_002873373.1
jg5271	XP_020878606.1
jg5272	XP_002873671.1
jg5443	XP_002873762.1
jg5611	XP_020877780.1
jg5612	XP_020877785.1
jg5613	XP_020877782.1
jg5674	XP_020878955.1
jg5675	XP_002873884.2
jg5682	XP_020878957.1
jg5683	XP_020878952.1
jg5782	XP_002873938.1
jg5783	XP_020876552.1
jg5784	XP_020875819.1, XP_002871874.1
jg5983	XP_020877383.1
jg5984	XP_020877395.1
jg6014	XP_020877830.1
jg6015	XP_002874050.1
jg6016	XP_002874051.1
jg6119	XP_002874097.1
jg6226	XP_002874147.1
jg6227	XP_020878737.1
jg6228	XP_020878905.1
jg6229	XP_020879371.1
jg6286	XP_020879054.1
jg6287	XP_020879053.1
jg6288	XP_002874187.1
jg6292	XP_002874189.1
jg6313	XP_020877943.1
jg6314	XP_002874202.2
jg6315	XP_020876077.1
jg6316	XP_020877597.1
jg6326	XP_002874210.1
jg6327	XP_002874211.2
jg6333	XP_002874213.1
jg6335	XP_002874214.1
jg6352	XP_002872128.1
jg6394	XP_002872145.1
jg6395	XP_002864997.1
jg6394	XP_002872145.1
jg6395	XP_002864997.1
jg6421	XP_002874258.1
jg6422	XP_020876275.1
jg6449	XP_002872178.1
jg6486	XP_020877840.1
jg6509	XP_002886410.1
jg6522	XP_002872204.1
jg6603	XP_020876938.1
jg6629	XP_002872260.1
jg6632	XP_020880935.1
jg6645	XP_020876891.1
jg6652	XP_020876965.1
jg6653	XP_002874370.1, XP_002874369.1
jg6654	XP_020868912.1
jg6757	XP_020873378.1, XP_020883096.1
jg6759	XP_002886736.2
jg6767	XP_020879174.1
jg6783	XP_020878381.1
jg7111	XP_002872409.1
jg7112	XP_002872409.1
jg7239	XP_020876292.1
jg7286	XP_002872458.1
jg7287	XP_002872459.2
jg7292	XP_002874587.1
jg7293	XP_020876244.1
jg7327	XP_002872480.1
jg7362	XP_020879231.1
jg7409	XP_020879488.1
jg7410	XP_002872525.1
jg7411	XP_002872525.1
jg7413	XP_002872528.1
jg7414	XP_002874639.1
jg7537	XP_020867640.1
jg7538	XP_020876211.1
jg7548	XP_020875769.1
jg7549	XP_020878226.1
jg7577	XP_002872624.1
jg7578	XP_020876840.1
jg7577	XP_002872624.1
jg7578	XP_020876840.1
jg7602	XP_002874741.1
jg7603	XP_020877635.1
jg7669	XP_020877639.1
jg7807	XP_002872756.2
jg7808	XP_020876434.1, XP_002872757.2
jg7809	XP_002872758.1
jg7810	XP_002874842.1
jg7820	XP_020876465.1
jg7821	XP_002872760.1
jg7822	XP_020876501.1
jg7939	XP_020877977.1
jg7940	XP_002874900.1
jg7986	XP_020876087.1
jg8251	XP_002862833.1
jg8401	XP_002866840.1
jg8402	XP_002866841.1
jg8403	XP_020874823.1
jg8481	XP_020874614.1
jg8482	XP_020874613.1
jg8484	XP_002866886.1
jg8504	XP_020872888.1
jg8505	XP_020872881.1
jg8506	XP_002868939.1
jg8554	XP_002866931.1
jg8558	XP_020873927.1
jg8559	XP_002868967.1
jg8665	XP_002869026.1
jg8666	XP_020872480.1
jg8724	XP_002869045.1
jg8725	XP_020875019.1
jg9012	XP_020874337.1
jg9013	XP_020884777.1, XP_002869204.2
jg9014	XP_020872808.1
jg9109	XP_002869242.1
jg9110	XP_020875006.1
jg9211	XP_020873921.1
jg9223	XP_002867279.1
jg9224	XP_002867280.1
jg9225	XP_020872059.1
jg9226	XP_002869314.1
jg9351	XP_002867338.1
jg9352	XP_020874794.1
jg9353	XP_020874796.1
jg9354	XP_002867341.1
jg9456	XP_020874593.1
jg9457	XP_020874723.1
jg9679	XP_020875469.1
jg9680	XP_020872218.1
jg9792	XP_020873607.1
jg9793	XP_020873710.1
jg9794	XP_002869603.1
jg9795	XP_020873752.1
jg10040	XP_020873381.1
jg10041	XP_020873708.1
jg10042	XP_020873779.1
jg10043	XP_020873601.1
jg10044	XP_020873688.1
jg10070	XP_020873787.1
jg10071	XP_020873354.1
jg10072	XP_002867680.1
jg10262	XP_020873494.1
jg10263	XP_020873785.1, XP_020873784.1
jg10262	XP_020873494.1
jg10263	XP_020873785.1, XP_020873784.1
jg10358	XP_020876952.1
jg10360	XP_002867813.1
jg10536	XP_020874256.1
jg10537	XP_002869938.1
jg10538	XP_002869939.1
jg10640	XP_020874820.1
jg10687	XP_002867965.1
jg10688	XP_020874526.1
jg10689	XP_002867966.1
jg10690	XP_002870008.2
jg10862	XP_002870097.1
jg10863	XP_020872638.1
jg10864	XP_002870098.1
jg10865	XP_002868055.1
jg10866	XP_002870099.1
jg10992	XP_002870154.1
jg10993	XP_020873976.1, XP_020873977.1
jg10994	XP_020873993.1
jg11093	XP_002870200.1
jg11202	XP_002870255.2
jg11203	XP_020873905.1
jg11296	XP_020872584.1
jg11297	XP_002870301.1
jg11329	XP_020872682.1, XP_002868284.1
jg11330	XP_020872680.1, XP_020872681.1
jg11412	XP_002870349.1
jg11413	XP_002870350.1
jg11520	XP_020877133.1
jg11651	XP_002863203.2
jg11652	XP_002863284.1
jg11853	XP_020870832.1, XP_020872563.1, XP_020879645.1, XP_020874922.1, XP_020872717.1
jg11945	XP_002868426.1
jg11946	XP_020874859.1
jg11956	XP_020875683.1
jg11973	XP_002870445.1
jg12168	XP_020875005.1
jg12169	XP_002870520.1
jg12179	XP_020872035.1
jg12201	XP_002868524.1
jg12205	XP_002868527.2
jg12247	XP_020875185.1
jg12274	XP_020871615.1
jg12276	XP_020874198.1
jg12277	XP_020874198.1
jg12314	XP_002868801.1
jg12315	XP_002870865.1
jg12338	XP_020874590.1
jg12339	XP_020875337.1
jg12350	XP_020874586.1
jg12351	XP_020874831.1
jg12475	XP_002868745.2
jg12476	XP_002868742.1, XP_002868743.1
jg12554	XP_020872970.1
jg12555	XP_002870759.1
jg12557	XP_002868697.1
jg12563	XP_020874186.1, XP_020874184.1
jg12636	XP_020873039.1
jg12637	XP_020875357.1
jg12638	XP_020874168.1
jg12654	XP_020874719.1
jg12655	XP_002868650.2
jg12671	XP_020875146.1
jg12672	XP_002868646.1
jg12673	XP_020875237.1
jg12674	XP_020875630.1
jg12756	XP_002870642.2
jg12757	XP_020874062.1
jg20523	XP_020868556.1
jg20524	XP_020871508.1
jg20535	XP_020871518.1
jg20577	XP_002865264.1
jg20590	XP_002863513.1
jg20591	XP_002865272.1
jg20605	XP_002863525.2
jg20606	XP_020871168.1
jg20612	XP_002865296.1, XP_002862977.1
jg20650	XP_002863542.2
jg20651	XP_020868622.1
jg20783	XP_020889541.1, XP_020889551.1
jg20784	XP_020886793.1
jg20793	XP_020880696.1
jg20794	XP_020880688.1
jg20795	XP_002865388.1
jg20796	XP_020878789.1
jg20926	XP_020879625.1
jg21018	XP_002862988.1, XP_002863734.1
jg21019	XP_002865482.1, XP_002865483.1
jg21018	XP_002862988.1, XP_002863734.1
jg21019	XP_002865482.1, XP_002865483.1
jg21037	XP_002863747.1
jg21051	XP_020869286.1
jg21097	XP_020889018.1
jg21131	XP_020891377.1
jg21132	XP_020891353.1
jg21369	XP_020871697.1
jg21370	XP_020886834.1, XP_020871699.1
jg21371	XP_020880400.1
jg21372	XP_020871585.1
jg21472	XP_002863930.1
jg21566	XP_002865729.1
jg21615	XP_020884509.1
jg21616	XP_020888428.1
jg21615	XP_020884509.1
jg21616	XP_020888428.1
jg21664	XP_002865774.1
jg21673	XP_020871106.1
jg21674	XP_020871335.1
jg22070	XP_020871676.1
jg22072	XP_020866586.1
jg22073	XP_002864247.1
jg22363	XP_020872008.1
jg22364	XP_002866092.1
jg22366	XP_020870474.1
jg22412	XP_020877296.1, XP_020873969.1
jg22413	XP_020882021.1, XP_020873947.1
jg22499	XP_020865736.1
jg22501	XP_020865736.1
jg22502	XP_020865763.1
jg22636	XP_002864515.1
jg22637	XP_002864516.1
jg22701	XP_002866242.1
jg22702	XP_020884322.1
jg22864	XP_020866830.1
jg22865	XP_002864627.1
jg22867	XP_020868192.1
jg23148	XP_002864764.2
jg23266	XP_020888136.1
jg23267	XP_020888132.1
jg23328	XP_002864854.1
jg23329	XP_002864855.1
jg23330	XP_020885884.1
jg23331	XP_002864857.1
jg23329	XP_002864855.1
jg23330	XP_020885884.1
jg23331	XP_002864857.1
jg23502	XP_002864932.1
jg23503	XP_020884876.1
jg23504	XP_002864934.1
jg23609	XP_002862566.1, XP_002864983.1
jg23610	XP_002864985.1
jg23611	XP_020884736.1
jg23648	XP_002866709.1
jg23649	XP_020871490.1
jg23650	XP_002866710.1
jg23651	XP_020869680.1
jg23652	XP_002865012.1
jg23653	XP_020882263.1
