annotation	A_lyrata_NCBI
jg2097	XP_020890498.1
jg2098	XP_002888498.1
jg2201	XP_020865820.1
jg2202	XP_020865815.1
jg2217	XP_020891751.1
jg2226	XP_002888575.1
jg2227	XP_002888576.1
jg2264	XP_020890349.1
jg2265	XP_002887117.1
jg2269	XP_002887120.1
jg2271	XP_020890875.1
jg2379	XP_002887165.2
jg2381	XP_020891732.1
jg2410	XP_020889603.1
jg2413	XP_002887183.1
jg2467	XP_020891668.1
jg2574	XP_020891410.1
jg2575	XP_002888739.1
jg2648	XP_020889798.1, XP_002888774.2
jg2987	XP_002887487.1
jg2989	XP_002888929.1
jg3412	XP_020891585.1
jg3413	XP_002887684.1
jg3468	XP_020889726.1
jg3471	XP_020889797.1
jg3484	XP_020891408.1
jg24099	XP_020889332.1
jg24100	XP_002884339.1
jg24101	XP_020889333.1
jg24102	XP_002884340.1
jg24146	XP_002884361.1
jg24147	XP_002882276.1
jg24148	XP_002882277.1
jg24149	XP_002882278.1
jg24150	XP_020887190.1
jg24622	XP_020888042.1
jg24623	XP_020888043.1
jg24624	XP_020889431.1
jg25049	XP_020888195.1
jg25050	XP_020886582.1
jg25083	XP_002885658.1
jg25086	XP_020888215.1
jg25087	XP_020888219.1
jg25125	XP_020888240.1
jg25126	XP_002884861.1
jg25127	XP_002882745.1
jg25128	XP_002884862.1
jg25129	XP_020888323.1
jg25361	XP_020888910.1
jg25381	XP_002882852.1
jg25383	XP_002882854.1
jg25384	XP_002884991.1
jg25385	XP_020885982.1
jg25640	XP_020886108.1
jg25814	XP_002883054.1
jg25815	XP_002885193.2
jg25816	XP_020889227.1
jg25957	XP_020889406.1
jg25958	XP_020888942.1
jg25959	XP_002885251.1
jg25960	XP_020889300.1
jg26230	XP_002883264.1
jg26231	XP_002885395.1
jg26233	XP_002885398.1
jg26361	XP_002885456.1
jg26362	XP_002885457.1
jg26363	XP_020889361.1
jg26364	XP_002885459.1
jg26518	XP_020889509.1
jg26519	XP_002885526.1
jg26579	XP_020885931.1
jg26580	XP_002883418.1
jg26655	XP_002883467.1
jg26656	XP_002885602.2
jg26904	XP_020887310.1
jg26905	XP_020887311.1
jg26906	XP_002883625.1
jg26907	XP_020887960.1
jg26909	XP_002885733.1
jg26930	XP_020887166.1
jg26931	XP_020886437.1
jg27021	XP_020870825.1
jg27023	XP_002885786.1
jg27039	XP_002883685.1
jg27151	XP_020886266.1, XP_020887756.1
jg27152	XP_020887541.1
jg27153	XP_020887540.1
jg27291	XP_020888901.1
jg27347	XP_020888479.1
jg27397	XP_002883798.1
jg27398	XP_020886484.1, XP_002885879.1
jg27429	XP_002885903.1
jg27447	XP_020886131.1
jg27488	XP_002883844.1
jg27494	XP_002883848.1
jg27495	XP_002885933.1
jg27497	XP_020888709.1
jg27499	XP_020887386.1
jg27508	XP_020889012.1
jg27531	XP_002883867.1
jg27532	XP_002883868.1
jg27576	XP_020888072.1
jg27660	XP_020888594.1
jg27662	XP_020885930.1
jg27706	XP_002886234.1
jg27756	XP_020886212.1
jg27757	XP_020873964.1
jg27879	XP_020889257.1
jg27983	XP_020887658.1
jg27984	XP_020887657.1
jg27985	XP_020889289.1
jg28026	XP_020888731.1
jg28027	XP_020886135.1
jg28130	XP_020887629.1
jg28145	XP_020886454.1
jg28146	XP_020888120.1
jg28227	XP_020887561.1
jg28228	XP_020887554.1
jg28261	XP_002886279.1
jg28262	XP_002884203.1
jg28264	XP_020883421.1
jg28265	XP_020886030.1
jg16636	XP_020885784.1
jg16637	XP_020885785.1
jg16638	XP_002878589.1
jg16787	XP_002878675.1
jg16789	XP_002878676.1
jg16831	XP_002878694.1
jg16876	XP_002878721.2
jg16877	XP_020884492.1
jg16878	XP_002880547.1
jg16893	XP_020883494.1
jg16958	XP_002880597.1
jg17028	XP_002878811.2
jg17029	XP_020885417.1
jg17058	XP_002880657.1
jg17334	XP_002878955.1
jg17335	XP_020884429.1
jg17482	XP_002879008.1
jg17573	XP_002879042.1
jg17574	XP_020885705.1, XP_020883305.1
jg17650	XP_002880914.1
jg17680	XP_002880982.1
jg17681	XP_020883480.1
jg17682	XP_020883481.1
jg17828	XP_020882895.1
jg17841	XP_002862704.1, XP_002881002.1
jg17843	XP_020885139.1
jg17870	XP_020885601.1
jg17871	XP_020885049.1
jg17909	XP_002879203.1
jg17910	XP_020874797.1
jg18143	XP_002879287.1
jg18144	XP_002881139.1
jg18182	XP_002887477.1
jg18265	XP_020873923.1, XP_020884074.1
jg18266	XP_020873882.1, XP_002881208.2
jg18267	XP_002881209.1
jg18284	XP_020885053.1, XP_002862884.1
jg18285	XP_002879366.1
jg18516	XP_020885500.1
jg18517	XP_002879480.1
jg18806	XP_020883023.1
jg18822	XP_020883460.1
jg18823	XP_002881472.1
jg18913	XP_002879682.1
jg18914	XP_020883173.1
jg18915	XP_020883177.1, XP_020883176.1
jg18916	XP_020883174.1
jg19129	XP_002881639.1
jg19130	XP_020885265.1
jg19363	XP_020885399.1
jg19372	XP_020884461.1
jg19373	XP_002881752.1
jg19374	XP_002879899.1
jg19611	XP_020884767.1
jg19612	XP_002881879.1
jg19669	XP_002885496.1
jg19672	XP_002881900.1
jg19677	XP_002881904.1
jg19678	XP_020884979.1
jg19680	XP_020884207.1
jg19872	XP_002880154.1
jg19873	XP_002881994.1
jg19884	XP_002875860.2
jg20018	XP_020884505.1
jg20019	XP_020884503.1
jg20020	XP_020884502.1
jg20182	XP_002882126.1
jg20183	XP_002882127.1
jg13023	XP_020881175.1
jg13040	XP_002876807.1
jg13042	XP_002876809.1
jg13059	XP_020881070.1
jg13060	XP_002876821.1
jg13101	XP_002875183.1
jg13102	XP_002876855.1
jg13103	XP_020880220.1
jg13341	XP_020880096.1
jg13344	XP_020882015.1
jg13345	XP_020880093.1
jg13359	XP_020881189.1
jg13360	XP_020881191.1
jg13395	XP_020881196.1
jg13417	XP_002875359.1
jg13635	XP_020882420.1
jg13636	XP_020881937.1
jg13712	XP_002877153.1
jg13713	XP_020879900.1
jg13983	XP_002875596.1
jg13984	XP_002875595.1
jg13985	XP_002877261.1
jg14108	XP_020882053.1
jg14109	XP_020882473.1
jg14111	XP_002877317.1
jg14168	XP_020870692.1, XP_020885594.1
jg14169	XP_020882209.1
jg14753	XP_020881669.1
jg14754	XP_020882379.1
jg14755	XP_020879899.1
jg14844	XP_020881785.1
jg14845	XP_020881265.1
jg14846	XP_020881267.1
jg14847	XP_002877709.1
jg14853	XP_020879668.1
jg14854	XP_002876006.1
jg14855	XP_020875338.1
jg14935	XP_002877758.1
jg15214	XP_002876173.1
jg15215	XP_020881388.1
jg15216	XP_020881384.1
jg15229	XP_020881378.1
jg15230	XP_020881380.1
jg15231	XP_002876181.1
jg15232	XP_020881392.1
jg15233	XP_002876183.2
jg15234	XP_002876184.1
jg15394	XP_002876261.1
jg15396	XP_020881310.1
jg15763	XP_002878159.1
jg15765	XP_002878160.1
jg15801	XP_020881346.1
jg15802	XP_020881345.1
jg15803	XP_020881292.1
jg15811	XP_002878178.1
jg15812	XP_020879839.1
jg15813	XP_020881540.1
jg15830	XP_020880154.1
jg15991	XP_020881473.1
jg15992	XP_020882000.1
jg16074	XP_020880775.1
jg16075	XP_002876540.1
jg16076	XP_020881587.1
jg16077	XP_020869569.1
jg16078	XP_020882474.1
jg16079	XP_002876541.1
jg16276	XP_002876658.2
jg16277	XP_020882094.1
jg16276	XP_002876658.2
jg16277	XP_020882094.1
jg3901	XP_020876846.1
jg3902	XP_002870935.1
jg3903	XP_020878788.1
jg3903	XP_020878788.1
jg3915	XP_020878838.1
jg3916	XP_020879234.1
jg4158	XP_020878425.1
jg4339	XP_002871182.1
jg4340	XP_002873227.1
jg4341	XP_020875967.1
jg4528	XP_020878562.1
jg4529	XP_002873291.1
jg4948	XP_002871462.1
jg4949	XP_002873499.1
jg5025	XP_002871502.2
jg5026	XP_020878335.1
jg5028	XP_020877228.1
jg5090	XP_002871529.2
jg5091	XP_002873579.1
jg5092	XP_020879418.1
jg5688	XP_020879127.1
jg5689	XP_002873895.2
jg5782	XP_002873938.1
jg5783	XP_020876552.1
jg5784	XP_020875819.1, XP_002871874.1
jg5948	XP_020876169.1
jg5949	XP_020878227.1
jg6031	XP_020876640.1
jg6032	XP_002871996.2
jg6033	XP_020876642.1
jg6034	XP_020876299.1
jg6255	XP_020870210.1
jg6311	XP_020876768.1
jg6449	XP_002872178.1
jg6449	XP_002872178.1
jg6450	XP_002874276.2
jg6451	XP_020877871.1
jg6470	XP_002874284.1
jg6603	XP_020876938.1
jg6625	XP_020876989.1
jg6626	XP_020869955.1, XP_020891614.1
jg6648	XP_020876892.1
jg6649	XP_020876248.1
jg6678	XP_020870217.1
jg6759	XP_002886736.2
jg6760	XP_020876962.1
jg6800	XP_002874431.1
jg6961	XP_002874479.2
jg7095	XP_020877459.1
jg7096	XP_020877462.1
jg7111	XP_002872409.1
jg7112	XP_002872409.1
jg7154	XP_020877506.1
jg7160	XP_020877477.1
jg7162	XP_002874535.1
jg7186	XP_020875338.1
jg7187	XP_002874556.1
jg7283	XP_020879291.1
jg7284	XP_020876166.1
jg7284	XP_020876166.1
jg7286	XP_002872458.1
jg7286	XP_002872458.1
jg7287	XP_002872459.2
jg7381	XP_002874620.1
jg7413	XP_002872528.1
jg7414	XP_002874639.1
jg7426	XP_020877537.1
jg7427	XP_002872535.1
jg7480	XP_020878536.1
jg7481	XP_020878308.1
jg7500	XP_002872577.1
jg7501	XP_020878894.1
jg7595	XP_020877187.1
jg7596	XP_002874735.2
jg7597	XP_020877707.1
jg7634	XP_002874761.1
jg7635	XP_020877665.1
jg7637	XP_020877736.1
jg7635	XP_020877665.1
jg7637	XP_020877736.1
jg7871	XP_020878326.1
jg7872	XP_020878325.1
jg7873	XP_002872806.1
jg7931	XP_020877213.1, XP_020876461.1
jg7932	XP_020876473.1
jg7933	XP_002872783.1
jg7956	XP_020878315.1
jg8226	XP_020879346.1
jg8227	XP_002872964.2
jg8228	XP_020879068.1
jg8411	XP_002868904.2
jg8600	XP_002866955.2
jg8601	XP_020874750.1
jg8635	XP_002869008.1
jg8636	XP_020872238.1
jg8665	XP_002869026.1
jg8666	XP_020872480.1
jg8705	XP_020874272.1
jg8706	XP_020875620.1
jg9012	XP_020874337.1
jg9013	XP_020884777.1, XP_002869204.2
jg9014	XP_020872808.1
jg9015	XP_002867169.1
jg9016	XP_002867170.2
jg9035	XP_020875383.1
jg9036	XP_020872153.1
jg9037	XP_020875438.1
jg9038	XP_002867181.1
jg9267	XP_002869332.1
jg9269	XP_020874472.1
jg9525	XP_020875094.1
jg9525	XP_020875094.1
jg9526	XP_020875093.1
jg9600	XP_020872560.1
jg9601	XP_002867452.1
jg9602	XP_020874758.1
jg9710	XP_020872191.1
jg9711	XP_020874358.1
jg9736	XP_020873778.1, XP_002869577.1
jg9737	XP_002869578.2
jg9739	XP_020873640.1
jg9740	XP_002867522.2
jg9741	XP_020873487.1
jg9742	XP_002867523.1
jg9958	XP_020873238.1
jg9959	XP_020873511.1
jg10117	XP_002869767.1
jg10118	XP_002869768.1
jg10125	XP_020873276.1
jg10126	XP_002867693.1
jg10127	XP_020873791.1
jg10177	XP_020872543.1
jg10186	XP_020873845.1
jg10212	XP_002867731.1
jg10216	XP_002869791.1
jg10428	XP_002867852.2
jg10502	XP_020875644.1
jg10503	XP_020875067.1
jg10679	XP_020874524.1
jg10680	XP_002867961.2
jg10687	XP_002867965.1
jg10688	XP_020874526.1
jg10689	XP_002867966.1
jg10770	XP_020882606.1
jg10773	XP_002885850.1
jg11039	XP_020874392.1
jg11041	XP_020874983.1
jg11441	XP_020875439.1
jg11618	XP_002863185.1
jg11706	XP_002863230.2
jg11945	XP_002868426.1
jg11946	XP_020874859.1
jg12075	XP_020876204.1
jg12200	XP_020874754.1
jg12232	XP_020875716.1
jg12233	XP_002868533.2
jg12234	XP_002870553.1
jg12326	XP_002870859.1
jg12448	XP_002870810.1
jg12550	XP_020872961.1
jg12551	XP_020872150.1, XP_002870761.2
jg12647	XP_002870713.1
jg12658	XP_020874698.1
jg12677	XP_002870690.1
jg12678	XP_002868643.1
jg12779	XP_020874890.1
jg12780	XP_002868586.1
jg12781	XP_020875227.1
jg20352	XP_020885101.1
jg20494	XP_002863448.1
jg20495	XP_020871631.1
jg20539	XP_020886162.1
jg20540	XP_020871876.1
jg20568	XP_002863496.1
jg20602	XP_002865279.2
jg20603	XP_020885867.1
jg20605	XP_002863525.2
jg20606	XP_020871168.1
jg20612	XP_002865296.1, XP_002862977.1
jg20613	XP_020866204.1, XP_020874248.1
jg20650	XP_002863542.2
jg20651	XP_020868622.1
jg20668	XP_020891554.1
jg20734	XP_002863584.1
jg20895	XP_020871984.1, XP_020873300.1, XP_002865428.1
jg20896	XP_020871984.1, XP_020873300.1, XP_002865428.1
jg20897	XP_020871984.1, XP_020873300.1, XP_002865428.1
jg20972	XP_020890613.1
jg20973	XP_002865487.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_020885190.1
jg20974	XP_002865487.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_020885190.1
jg20975	XP_002865487.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_020885190.1
jg20976	XP_002865487.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_020885190.1
jg20975	XP_002865487.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_020885190.1
jg20976	XP_002865487.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_020885190.1
jg20977	XP_002865487.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_020885190.1
jg20978	XP_002865487.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_020885190.1
jg20979	XP_002865487.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_020885190.1
jg21017	XP_020869244.1
jg21051	XP_020869286.1
jg21372	XP_020871585.1
jg21374	XP_020878216.1
jg21415	XP_020885751.1
jg21416	XP_020871446.1, XP_020874771.1
jg21417	XP_020865603.1
jg21586	XP_002863991.1
jg21587	XP_020879077.1
jg21586	XP_002863991.1
jg21587	XP_020879077.1
jg21681	XP_002864047.1
jg21682	XP_002864048.1
jg21683	XP_002864049.1
jg21684	XP_002865781.1
jg21863	XP_002864134.1
jg21864	XP_002864135.2
jg21865	XP_002864136.1
jg22030	XP_002864215.1
jg22031	XP_002864216.1
jg22032	XP_020883041.1
jg22115	XP_020872310.1
jg22116	XP_020871560.1
jg22235	XP_002864329.1
jg22236	XP_002864330.1
jg22327	XP_020883486.1
jg22532	XP_020871282.1
jg22533	XP_002864463.1
jg22695	XP_002864538.1
jg22697	XP_020881260.1
jg22698	XP_020881277.1
jg22848	XP_002864615.1
jg22850	XP_002864617.1
jg22906	XP_020885428.1
jg22907	XP_020867614.1
jg22906	XP_020885428.1
jg22907	XP_020867614.1
jg22913	XP_002866347.1
jg22914	XP_020879379.1
jg22915	XP_020871232.1
jg22950	XP_020886449.1
jg22951	XP_002862953.1, XP_002864667.1
jg22952	XP_020886436.1
jg23018	XP_002864702.1
jg23019	XP_002864703.1
jg23365	XP_002864868.1
jg23366	XP_020869868.1
jg23367	XP_020869868.1
jg23368	XP_002866578.1
jg23390	XP_020881877.1
jg23391	XP_002864882.1
jg23392	XP_020881892.1
jg23543	XP_020871153.1, XP_020882283.1
jg23637	XP_002865003.2
jg23638	XP_020871103.1
jg23639	XP_002866704.1
jg23752	XP_020881924.1
jg23753	XP_020881927.1
jg23754	XP_020881936.1
jg23780	XP_020878111.1
jg23781	XP_002866772.1
jg23782	XP_002865086.1
