annotation	A_thaliana
jg33445	AT1G52560.1
jg33447	AT1G52565.1
jg33604	AT1G53800.2
jg33606	AT1G53820.1
jg33681	AT1G55210.1
jg33682	AT1G55240.1
jg33683	AT1G55230.1
jg33684	AT1G55240.1
jg33697	AT1G55365.1
jg33698	AT1G55370.2
jg33699	AT1G55420.1, AT1G55380.1, AT1G55430.1
jg33746	AT1G55730.1
jg33747	AT1G55740.1
jg409	AT1G64290.1
jg496	AT1G63720.1
jg497	AT2G42470.1
jg593	AT1G63030.1
jg723	AT1G62130.1
jg753	AT1G61930.1
jg804	AT1G61563.1
jg841	AT1G61255.1
jg842	AT1G61250.1
jg861	AT1G61110.1
jg953	AT1G49930.1
jg954	AT1G60490.1
jg954	AT1G60490.1
jg980	AT2G10625.1, AT1G60220.1
jg1053	AT1G59740.1
jg1088	AT1G59660.1
jg1089	AT1G59650.1
jg1090	AT1G06380.1
jg1091	AT1G59640.2
jg1115	AT1G58525.1
jg1116	AT1G58684.1, AT1G59359.1, AT1G58983.1, AT1G58380.1
jg1124	AT1G58520.1
jg1182	AT1G58225.1
jg1183	AT1G58220.1
jg1268	AT1G57780.1
jg1269	AT3G44115.1, AT1G57775.1, AT1G57777.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57760.1, AT4G07515.1, AT4G08025.1, AT5G34908.1
jg1270	AT3G44115.1, AT1G57775.1, AT1G57777.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57760.1, AT4G07515.1, AT4G08025.1, AT5G34908.1
jg1396	AT1G56510.1, AT1G56520.2
jg1484	AT1G54930.2
jg1947	AT1G65590.1
jg1965	AT1G65650.1
jg2097	AT1G66400.1
jg2107	AT5G32613.1
jg2108	AT5G32613.1
jg2109	AT1G66480.1
jg2119	AT1G66540.1
jg2173	AT1G66810.1
jg2189	AT1G66910.1
jg2199	AT1G66950.1
jg2261	AT1G67340.1
jg2290	AT1G67540.2
jg2291	AT1G67550.1
jg2319	AT1G67760.1
jg2320	AT1G67770.1
jg2327	AT1G67820.1
jg2328	AT1G67830.1
jg2329	AT1G67840.1
jg2433	AT1G68610.1
jg2434	AT1G68620.1
jg2435	AT1G68630.1
jg2436	AT1G68640.1
jg2490	AT1G69120.1
jg2563	AT1G69730.1
jg2564	AT1G69730.1
jg2638	AT1G70280.2
jg2640	AT1G70300.1
jg2641	AT1G70310.1
jg2747	AT1G71230.1
jg2771	AT1G71390.2
jg2820	AT1G71930.1
jg2821	AT1G71940.2
jg2822	AT1G71950.1
jg2863	AT1G72290.1
jg2875	AT1G72416.3
jg2876	AT1G72420.1
jg2927	AT1G72860.2
jg2928	AT1G72870.1
jg2929	AT1G72880.1
jg3029	AT1G73870.1
jg3030	AT1G73875.1
jg3049	AT1G74030.1
jg3050	AT1G74040.1
jg3051	AT1G74045.1
jg3072	AT1G74180.1
jg3222	AT1G75630.2
jg3321	AT1G76600.1
jg3322	AT1G76610.1
jg3397	AT1G77290.1
jg3398	AT1G77300.1
jg3443	AT1G77720.1
jg3510	AT1G78340.1
jg3511	AT1G78360.1
jg3512	AT1G78370.1
jg3513	AT1G78380.1
jg3609	AT1G79230.1
jg23952	AT3G18535.1
jg23953	AT3G01440.1
jg23954	AT3G01435.2
jg23955	AT3G01430.1
jg23955	AT3G01430.1
jg23956	AT3G01420.1
jg23957	AT3G01410.1
jg23955	AT3G01430.1
jg23956	AT3G01420.1
jg23957	AT3G01410.1
jg24053	AT3G02400.1
jg24054	AT3G02410.1
jg24055	AT3G02420.1
jg24119	AT3G02930.1
jg24536	AT3G06040.1
jg24537	AT3G06050.1
jg24538	AT3G06060.2
jg24725	AT3G07670.1
jg24726	AT3G07680.1
jg24818	AT3G09000.1
jg24819	AT3G09010.1
jg25276	AT3G13070.1
jg25363	AT3G13700.1
jg25364	AT3G13710.1
jg25365	AT3G13720.1
jg25366	AT3G13730.1
jg25383	AT3G13830.1, AT1G11810.1
jg25384	AT3G13840.1
jg25385	AT3G13845.1
jg25387	AT3G13850.1
jg25398	AT3G13940.1
jg25399	AT3G13950.1
jg25400	AT3G13960.1
jg25432	AT3G14210.1
jg25433	AT3G14220.1
jg25434	AT3G14225.1
jg25486	AT3G14690.2
jg25487	AT3G14700.1
jg25488	AT3G14710.1
jg25489	AT3G14720.1
jg25519	AT3G14990.1
jg25520	AT3G15000.1
jg25521	AT3G15010.1
jg25606	AT3G15610.1
jg25607	AT3G15620.1
jg25608	AT3G15630.1
jg25633	AT3G15890.1
jg25634	AT3G15900.1
jg25635	AT3G15920.1
jg25697	AT3G16430.1
jg25699	AT3G16440.2
jg25700	AT3G16450.1
jg25782	AT3G17040.1
jg25784	AT3G17060.1
jg25845	AT3G17410.1
jg25846	AT3G17420.1
jg25958	AT4G09870.1
jg25959	AT2G07140.1, AT3G44120.1
jg25960	AT3G18330.1
jg26037	AT3G19000.1
jg26038	AT3G19010.1
jg26039	AT3G19020.1
jg26396	AT3G21910.1
jg26398	AT3G21930.1, AT3G21920.2
jg26399	AT3G21930.1, AT3G21920.2
jg26529	AT3G22930.1
jg26530	AT3G22942.1
jg26646	AT3G23805.1
jg26647	AT3G23810.1
jg26651	AT3G23820.1
jg26652	AT3G23830.1
jg26717	AT3G23980.1
jg26959	AT4G16095.1
jg26960	AT2G04480.1
jg27001	AT2G04840.1
jg27002	AT2G04842.1
jg27003	AT2G04845.1
jg27004	AT2G04850.1
jg27006	AT2G04865.1
jg27007	AT2G03800.2
jg27039	AT2G05260.1
jg27045	AT2G05320.1
jg27046	AT2G05330.1
jg27047	AT2G05335.1
jg27090	AT2G05755.1
jg27109	AT1G67635.1
jg27153	AT2G06040.1
jg27180	AT2G06255.1
jg27181	AT2G06510.1
jg27182	AT2G06520.1
jg27180	AT2G06255.1
jg27181	AT2G06510.1
jg27182	AT2G06520.1
jg27183	AT2G06530.1
jg27381	AT2G13100.1
jg27382	AT2G12900.1
jg27641	AT2G15970.1
jg27642	AT2G15980.1
jg27643	AT2G16005.1
jg27648	AT2G16070.2
jg27649	AT2G16090.1
jg27660	AT2G16220.1
jg27723	AT4G03165.1
jg27770	AT2G16750.1
jg27772	AT2G16760.1
jg27773	AT2G16770.1
jg27861	AT2G17320.1
jg27862	AT2G17340.1
jg27885	AT1G35540.1, AT1G43950.1, AT1G35520.1, AT1G34410.1, AT1G35240.1, AT1G34310.1, AT1G34390.1
jg27886	AT2G17540.1
jg27913	AT2G17770.2
jg27914	AT2G17780.1
jg27997	AT2G18360.1
jg27998	AT2G18370.1
jg28002	AT2G18390.1
jg28003	AT2G18400.1
jg28004	AT2G18410.1
jg28093	AT2G19110.1
jg28094	AT2G19120.1
jg28102	AT2G19180.1
jg28103	AT2G19190.1
jg28115	AT2G19280.1
jg28116	AT2G19310.1
jg28117	AT2G19320.1
jg28118	AT2G19330.1
jg28119	AT2G19350.1
jg28179	AT2G19810.1
jg28205	AT2G22870.1
jg28206	AT2G22880.1
jg28207	AT2G19980.1
jg28208	AT2G19990.1
jg28217	AT2G20060.1
jg28218	AT2G20070.1
jg28219	AT2G20080.1
jg16522	AT2G21185.1
jg16523	AT2G21190.1
jg16524	AT2G21195.4
jg16525	AT2G21200.1
jg16596	AT2G21800.2
jg16598	AT2G21820.1
jg16599	AT2G21830.1
jg16623	AT2G21960.1
jg16624	AT2G21970.1
jg16625	AT2G21990.1
jg16626	AT2G22000.1
jg16650	AT2G22190.1
jg16668	AT2G22410.1
jg16669	AT2G22420.1
jg16794	AT2G23350.1
jg16796	AT2G23360.1
jg16846	AT2G23820.2
jg16869	AT2G24050.1
jg16870	AT2G24060.1
jg16871	AT2G24070.1
jg16889	AT2G24180.1
jg16890	AT2G24190.2
jg16891	AT2G24200.1
jg17022	AT2G24850.1
jg17023	AT2G24860.1
jg17056	AT2G25140.1
jg17077	AT2G25240.1
jg17080	AT2G25250.1
jg17140	AT2G25590.1
jg17141	AT2G25600.1
jg17233	AT2G25980.1
jg17291	AT3G42940.1
jg17292	AT3G42940.1
jg17297	AT2G26190.1
jg17321	AT3G58950.1
jg17322	AT3G58950.1
jg17444	AT2G26695.1
jg17619	AT2G27240.1
jg17784	AT2G28240.1
jg17785	AT2G28250.1
jg17804	AT2G28410.1
jg17808	AT2G28440.1
jg17809	AT2G28450.1
jg17810	AT2G28460.1
jg17846	AT2G28690.1
jg17854	AT2G28760.4, AT2G28755.1
jg17855	AT2G28780.1
jg17874	AT2G28950.1
jg17900	AT2G29050.1
jg17901	AT2G29060.1
jg17953	AT2G29430.1
jg17953	AT2G29430.1
jg17955	AT2G29430.1
jg17997	AT2G29750.1
jg17998	AT2G29760.1
jg17999	AT2G29770.1
jg18142	AT2G30920.1
jg18295	AT2G32250.1
jg18296	AT2G32260.1
jg18357	AT2G32790.1
jg18377	AT2G32940.1
jg18378	AT2G32950.1
jg18415	AT2G33220.2
jg18416	AT2G33230.1
jg18486	AT2G33800.1
jg18487	AT2G33810.1
jg18488	AT2G33820.3
jg18610	AT2G34925.1
jg18631	AT2G35150.1
jg18632	AT2G35155.1
jg18635	AT2G35160.1
jg18797	AT2G36590.1
jg18798	AT2G36610.1
jg18799	AT2G36620.1
jg18854	AT2G37080.1
jg18855	AT2G37090.1
jg18953	AT2G37890.1
jg18954	AT2G37900.1
jg18955	AT2G37920.1
jg18956	AT2G37925.1
jg19034	AT2G38490.1
jg19035	AT2G38500.1
jg19036	AT2G38510.1
jg19037	AT2G38530.1
jg19038	AT2G38540.1
jg19039	AT2G38550.1
jg19098	AT3G43340.1
jg19209	AT2G39805.2
jg19210	AT2G39810.1
jg19273	AT2G40230.1
jg19321	AT2G40570.1
jg19322	AT2G40580.1
jg19323	AT2G40590.1, AT2G40510.1
jg19325	AT2G40500.1
jg19427	AT2G41420.1
jg19428	AT2G41430.1
jg19429	AT2G41450.1
jg19464	AT2G41750.1
jg19465	AT2G41760.1
jg19517	AT2G42160.1
jg19518	AT2G42180.1
jg19571	AT2G42550.1
jg19572	AT2G42560.1
jg19573	AT2G42570.1
jg19804	AT2G44480.3
jg19805	AT2G44490.1
jg19805	AT2G44490.1
jg19866	AT2G45000.1
jg19868	AT2G45010.1
jg19870	AT1G45332.1, AT2G45030.1
jg19959	AT2G45650.1
jg19960	AT2G45660.1
jg20084	AT2G46780.1
jg20085	AT2G46670.1, AT2G46790.1
jg20124	AT2G47160.2
jg20125	AT3G62290.1
jg13020	AT2G02060.1
jg13214	AT3G25570.1
jg13219	AT3G25590.1
jg13229	AT3G25670.1
jg13240	AT3G25770.1
jg13241	AT3G25780.1
jg13300	AT3G26150.1
jg13301	AT3G26160.1
jg13335	AT3G26440.5
jg13337	AT3G26450.1, AT3G26460.1
jg13403	AT3G27020.1
jg13415	AT3G27120.1
jg13416	AT3G27150.1
jg13419	AT3G27170.1
jg13420	AT3G27180.1
jg13421	AT3G45500.1
jg13608	AT3G28380.1
jg13707	AT3G29030.1
jg13990	AT3G42950.1
jg14041	AT1G50780.1, AT1G48150.1
jg14055	AT3G43750.1
jg14065	AT3G43670.1
jg14116	AT3G48640.1
jg14117	AT3G48630.1, AT3G44150.1
jg14118	AT3G44160.1
jg14145	AT3G44310.1
jg14148	AT3G44330.1
jg14184	AT3G44610.1
jg14251	AT3G45000.1
jg14271	AT3G45090.1
jg14272	AT3G45093.1
jg14275	AT3G45140.1
jg14322	AT1G47660.1
jg14323	AT3G45500.1
jg14349	AT3G45730.1
jg14350	AT3G45740.1
jg14373	AT3G45940.1
jg14375	AT3G45950.1
jg14376	AT3G45960.2
jg14379	AT3G45990.1
jg14380	AT3G46000.2
jg14381	AT3G46010.2
jg14392	AT3G46130.1
jg14393	AT3G46140.1, AT3G45790.1
jg14394	AT3G46140.1, AT3G45790.1
jg14393	AT3G46140.1, AT3G45790.1
jg14394	AT3G46140.1, AT3G45790.1
jg14397	AT3G46160.1
jg14583	AT3G47800.1
jg14584	AT3G47810.1
jg14639	AT3G48250.1
jg14714	AT3G48900.2
jg14715	AT4G04415.1
jg14716	AT4G04415.1
jg14824	AT3G49680.1
jg14825	AT3G49690.1
jg14835	AT3G49770.1
jg14836	AT3G62740.1
jg14860	AT3G49980.2
jg14880	AT3G50130.1
jg14881	AT3G50140.1, AT3G50190.1
jg14882	AT3G50150.1
jg14883	AT3G50170.1, AT3G50200.1
jg15222	AT3G52960.1
jg15223	AT3G52970.2
jg15414	AT3G54800.1
jg15521	AT3G55710.1
jg15523	AT3G55720.1
jg15580	AT3G56110.1
jg15581	AT3G56120.1
jg15582	AT3G56130.1
jg15869	AT3G58430.1
jg15870	AT3G58440.1
jg16036	AT3G59870.1
jg16038	AT3G59880.1
jg16181	AT3G61300.1
jg16182	AT3G61310.1
jg16183	AT3G61320.3
jg16183	AT3G61320.3
jg16185	AT3G61340.2
jg16186	AT3G61350.1
jg16187	AT3G61360.1
jg16207	AT5G28370.1, AT3G61520.1, AT5G28460.1
jg16208	AT3G61530.1
jg16267	AT3G62050.1
jg16271	AT3G62030.2
jg16390	AT3G63190.1
jg16392	AT3G63200.1
jg3819	AT5G01890.1
jg3820	AT5G01881.1
jg3821	AT5G01880.1
jg3822	AT5G01870.1
jg3890	AT5G01360.1
jg3892	AT5G01340.1
jg3955	AT5G02230.3
jg3956	AT5G02240.1
jg4126	AT5G03800.1
jg4127	AT5G03810.1, AT5G03820.2
jg4128	AT2G44510.1
jg4189	AT5G04390.1
jg4190	AT5G04410.1
jg4399	AT5G06310.1
jg4400	AT1G52950.1
jg4511	AT3G03370.1
jg4512	AT5G06870.1
jg4529	AT5G07030.1
jg4530	AT5G07040.1
jg4531	AT5G07050.1
jg4567	AT5G07300.1
jg4568	AT5G07310.1
jg4571	AT5G07330.1
jg4572	AT5G07340.2
jg4602	AT5G07580.1
jg4603	AT5G07590.1
jg4604	AT5G07600.1
jg4605	AT5G07610.1
jg4606	AT5G07620.1
jg4611	AT5G07680.1
jg4718	AT5G08610.1
jg4719	AT5G08620.1
jg4750	AT5G09360.1
jg4751	AT5G09370.1
jg4752	AT5G09380.2
jg5242	AT5G14270.2
jg5244	AT5G14280.1
jg5266	AT5G14450.1
jg5267	AT5G14460.1
jg5268	AT5G14470.1
jg5269	AT5G14480.1
jg5422	AT5G15950.1
jg5423	AT5G15970.1, AT5G15960.1
jg5424	AT5G15980.1
jg5567	AT5G17340.1
jg5568	AT5G17350.1
jg5678	AT5G18330.1
jg5679	AT5G18340.1
jg5700	AT5G18540.1
jg5701	AT5G18550.1
jg5829	AT5G19670.1
jg5830	AT5G19680.1
jg5859	AT5G19960.1
jg5860	AT5G19970.1
jg5861	AT5G19980.1
jg5914	AT5G20520.1
jg5916	AT5G20540.1
jg5961	AT5G20950.3
jg6053	AT5G22430.1
jg6054	AT5G22440.1
jg6055	AT5G22450.1
jg6070	AT5G22550.2
jg6071	AT5G22555.1
jg6072	AT5G22560.1
jg6135	AT5G23000.1
jg6166	AT5G23210.1
jg6167	AT5G23212.1
jg6168	AT5G23220.1
jg6248	AT5G23990.2
jg6249	AT5G24000.1
jg6249	AT5G24000.1
jg6250	AT5G24010.1
jg6251	AT5G24020.1
jg6357	AT5G24850.1
jg6358	AT5G24860.2
jg6420	AT5G25380.4
jg6421	AT5G25380.4
jg6421	AT5G25380.4
jg6422	AT5G25410.1
jg6421	AT5G25380.4
jg6422	AT5G25410.1
jg6422	AT5G25410.1
jg6424	AT5G25415.1
jg6655	AT5G27460.1
jg6656	AT5G27450.1
jg6657	AT5G27430.1
jg6715	AT5G27970.2
jg6774	AT5G28290.1
jg6775	AT5G28300.1
jg6963	AT4G07390.1
jg6964	AT4G07400.1
jg7087	AT4G08455.1
jg7088	AT4G08460.1
jg7111	AT4G08620.1
jg7112	AT4G08620.1
jg7339	AT4G10040.1
jg7458	AT4G11020.1
jg7496	AT4G11290.1
jg7497	AT4G11300.1
jg7571	AT4G11740.1
jg7572	AT4G11750.1
jg7581	AT4G11820.2
jg7588	AT4G11900.1
jg7589	AT4G11910.1
jg7590	AT4G11911.1
jg7589	AT4G11910.1
jg7590	AT4G11911.1
jg7591	AT4G11370.1
jg7592	AT4G11920.1
jg7609	AT4G12080.1
jg7644	AT4G12410.1
jg7645	AT4G12420.1
jg7669	AT4G12620.1
jg7798	AT4G05330.1
jg7841	AT4G03470.1
jg7842	AT4G03500.1, AT1G03670.1, AT4G03495.1, AT4G03460.1
jg7844	AT4G03440.1
jg7872	AT4G02860.1
jg7873	AT4G02870.1
jg7874	AT4G02880.2
jg7876	AT4G05320.2
jg7877	AT4G02900.1
jg8068	AT4G01700.1
jg8069	AT4G01690.1
jg8069	AT4G01690.1
jg8327	AT4G38620.1
jg8328	AT4G38630.1
jg8329	AT4G38640.1
jg8411	AT4G39410.1
jg8584	AT4G37490.1
jg8585	AT4G37480.1
jg8586	AT4G37470.1
jg8610	AT4G37250.1
jg8706	AT4G36240.1
jg8707	AT4G36230.1
jg8820	AT4G35270.1
jg8821	AT4G35260.1
jg9105	AT3G43710.1
jg9106	AT4G32830.1
jg9223	AT4G31770.1
jg9224	AT4G31760.1
jg9225	AT4G31750.1
jg9226	AT4G31740.1
jg9312	AT4G30870.1
jg9313	AT4G30040.1
jg9364	AT4G30480.2
jg9365	AT4G30470.1
jg9366	AT4G30460.1
jg9426	AT4G29930.3
jg9674	AT4G27690.1
jg9675	AT4G27680.1
jg9676	AT4G27670.1
jg9678	AT4G27660.1
jg9714	AT4G27400.1
jg9715	AT4G27390.1
jg9716	AT4G27380.1
jg9857	AT4G26010.2
jg9858	AT4G26010.2
jg9859	AT4G26000.1
jg9889	AT4G25760.1
jg9890	AT4G25750.1
jg9926	AT4G25410.1
jg9927	AT4G25400.2
jg9948	AT4G25220.1
jg9949	AT4G25210.1
jg9950	AT4G25200.1
jg9951	AT4G25190.2
jg9959	AT4G25110.1
jg9960	AT4G25100.1
jg9973	AT4G25010.1
jg9974	AT4G25000.1
jg9975	AT4G24990.1
jg10027	AT4G24500.1
jg10028	AT4G24490.1
jg10029	AT4G24480.1
jg10226	AT4G22990.2
jg10227	AT4G22980.1
jg10236	AT4G22890.1
jg10237	AT4G22880.1
jg10238	AT4G22860.1
jg10332	AT4G22090.1, AT4G22080.1
jg10333	AT4G22070.1
jg10465	AT4G21060.1
jg10548	AT4G20230.2
jg10549	AT4G20190.1
jg10559	AT4G20080.1
jg10560	AT4G20070.1
jg10588	AT5G35830.1, AT3G54070.1
jg10589	AT4G19900.1
jg10590	AT4G19890.1
jg10719	AT4G18680.1
jg10720	AT4G18670.1
jg10724	AT4G18630.1
jg10726	AT4G18620.1
jg10737	AT4G18550.2
jg10932	AT4G16810.1
jg10933	AT4G16807.1
jg10934	AT4G16800.1
jg10941	AT4G16760.1
jg10942	AT4G16750.1
jg11088	AT4G15950.1
jg11089	AT4G15940.1
jg11090	AT4G15930.1
jg11152	AT4G15550.1
jg11153	AT4G15545.1
jg11154	AT4G15540.1
jg11181	AT4G15393.2, AT4G15396.1
jg11369	AT4G14170.1
jg11370	AT4G14160.1
jg11461	AT4G13600.1
jg11529	AT4G13340.1
jg11530	AT5G24480.1
jg11537	AT4G13310.1
jg11610	AT1G37000.1
jg11612	AT4G13075.1
jg11618	AT4G13070.1
jg11666	AT4G12810.1, AT4G12820.1
jg11706	AT4G12640.1
jg11856	AT5G33370.1
jg11944	AT5G35570.1
jg11944	AT5G35570.1
jg11945	AT5G35580.2
jg11955	AT2G05710.1
jg11956	AT5G35610.1
jg11956	AT5G35610.1
jg11956	AT5G35610.1
jg12103	AT5G36970.1
jg12361	AT5G38386.1, AT5G38390.1
jg12362	AT5G38386.1, AT5G38390.1
jg12415	AT5G38710.1
jg12485	AT5G39250.1
jg12486	AT5G39260.1
jg12545	AT5G39720.1
jg12546	AT5G39730.1
jg12639	AT5G40320.1
jg12651	AT5G40390.1
jg20311	AT5G47340.1
jg20312	AT5G47330.1
jg20313	AT5G47320.1
jg20450	AT5G46200.1
jg20451	AT5G46190.2
jg20490	AT5G45890.1
jg20491	AT5G45880.1
jg20530	AT5G45550.1
jg20531	AT5G45540.1
jg20557	AT5G45340.1
jg20558	AT5G45330.1
jg20693	AT5G44575.1
jg20694	AT5G44574.1
jg20717	AT5G44480.1
jg20777	AT5G44160.1
jg20780	AT5G44130.1
jg20781	AT5G44120.3
jg20883	AT5G43390.1
jg20884	AT5G43380.1
jg20892	AT5G43360.1
jg20894	AT5G43360.1
jg20895	AT5G43360.1
jg20895	AT5G43360.1
jg20896	AT5G43360.1
jg20897	AT5G43360.1
jg20974	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20975	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20976	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20977	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20978	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg20979	AT5G42955.1, AT5G42957.1, AT3G30385.1, AT3G30387.1, AT3G30383.1, AT5G34882.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34887.1, AT5G34881.1, AT5G34905.1
jg21006	AT5G42860.1
jg21010	AT5G42840.1
jg21011	AT5G42830.1
jg21017	AT5G42810.1
jg21018	AT5G42800.1
jg21033	AT5G42720.1
jg21059	AT5G42630.1
jg21065	AT5G42560.1
jg21137	AT5G42290.1
jg21138	AT5G42270.1
jg21139	AT5G42250.1
jg21166	AT5G42210.1
jg21368	AT5G48340.1
jg21369	AT5G48360.1
jg21370	AT5G48370.1
jg21527	AT5G49100.1
jg21541	AT5G49210.1
jg21550	AT5G49270.1
jg21563	AT5G49310.1
jg21565	AT5G49320.1
jg21566	AT5G49330.1
jg21633	AT5G49850.1, AT5G49870.1
jg21657	AT5G50060.1
jg21658	AT5G50070.1
jg21739	AT5G50800.1
jg21753	AT5G50950.1
jg21808	AT5G51380.1
jg21809	AT5G51390.1
jg21810	AT5G51400.1
jg21811	AT5G51410.1
jg21828	AT5G51570.1
jg21829	AT5G51585.1
jg21868	AT5G51870.3
jg21869	AT5G51880.1
jg21870	AT5G51890.1
jg21924	AT5G52310.1
jg21970	AT5G52655.1
jg21971	AT5G52660.2
jg21972	AT5G52670.1
jg21981	AT5G52780.1
jg21982	AT5G52790.1
jg21983	AT5G52800.3
jg21990	AT5G52830.1
jg21993	AT5G52860.1
jg22025	AT5G53020.6
jg22025	AT5G53020.6
jg22136	AT5G53770.1
jg22137	AT5G53780.1
jg22200	AT5G54160.1
jg22201	AT5G54165.1
jg22202	AT5G54170.1
jg22233	AT5G54380.1
jg22303	AT5G54790.1
jg22363	AT5G55340.1
jg22364	AT5G55350.1
jg22365	AT5G55360.1
jg22652	AT5G57520.1
jg22653	AT5G57540.1, AT5G57530.1
jg22654	AT5G57550.1
jg22666	AT5G57630.1, AT5G57565.4
jg22667	AT5G57567.2, AT5G57640.1
jg22668	AT5G57655.2
jg22715	AT5G58090.1
jg22782	AT5G58670.1
jg22783	AT5G58680.1
jg22784	AT5G58690.1
jg22867	AT5G59340.1
jg22986	AT5G60460.1
jg22987	AT5G60470.2
jg23003	AT5G60640.1
jg23004	AT5G60650.1
jg23005	AT5G60660.1
jg23109	AT5G61610.1
jg23110	AT5G61620.1
jg23111	AT5G61630.1
jg23112	AT5G61640.2
jg23113	AT5G61650.1
jg23114	AT5G61660.1
jg23322	AT5G63510.2
jg23325	AT5G63520.1
jg23372	AT5G63870.1
jg23373	AT5G63880.2
jg23374	AT5G63890.2
jg23404	AT5G64130.3
jg23405	AT5G64150.1
jg23406	AT5G64160.1
